OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
agujas PEDIATRICA Septojet - 12 MM CAJA,,,,0,0,ABRAHAM,,0,,$33.180,$42.000,,,"0,27",$0
ALAMBRE FERULA No. 0.40MM  0.014 15FT,,,,0,0,CLAUDIA DAZA,,0,,$15.920,$20.000,,,"0,26",$0
ALAMBRE FERULA No. 0.40MM  0.016 (55.01.040),,,,0,0,CLAUDIA,,0,,$12.800,$20.000,,,"0,56",$0
ALAMBRE FERULA No. 0.40MM  0.018 15 FT,,,,0,0,CLAUDIA DAZA,,0,,$15.920,$20.000,,,"0,26",$0
ALAMBRE FERULA No. 0.50MM  0.020 (55.01.050),,,,0,0,CLAUDIA,,4,,$12.800,$20.000,,,"0,56",$0
ALAMBRE LUGAD FERULA # 0.20MM 0.008  (55.01.208),,,,0,0,CLAUDIA,,0,,$12.800,$18.000,,,"0,41",$0
ALAMBRE LUGAD FERULA # 0.30 MM 0.012 (55.01.212),,,,0,0,CLAUDIA,,1,,$12.800,$18.000,,,"0,41",$0
ALAMBRE ORTODONCIA # 6 tubo x 10 (55.06.060) ,,,,0,0,DAZA CLAUDIA,,1,,$960,$2.500,,,"1,60",$0
ALAMBRE ORTODONCIA # 7 tubo x 10 (55.06.070),,,,0,0,DAZA CLAUDIA,,1,,$960,$2.500,,,"1,60",$0
ALAMBRE ORTODONCIA # 8 tubo x 10 (55.06.080),,,,0,0,DAZA CLAUDIA,,1,,$960,$2.500,,,"1,60",$0
ALAMBRE ORTODONCIA # 9 tubo x 10 (55.06.090),,,,0,0,DAZA CLAUDIA,,2,,$960,$2.500,,,"1,60",$0
ALAMBRE ORTODONCIA TRENZADO,,,,0,0,DAZA CLAUDIA,,revisar,,$980,$3.000,,,"2,06",$0
ALBODENT AL 35  % aclaramiento no vital ,,,,0,,GABRIEL VELAS- RAMON,,,,$20.800,$26.000,,,"0,25",$0
ALBUM DENTAL,,,,0,0,CLAUDIA,,1,,$18.000,$25.000,,,"0,39",$0
ALCOHOL ANTICEPTICO 120 ML,,,,0,,CENTRO 40mil,,,,$1.900,$3.000,,,"0,58",$0
ALCOHOL ANTICEPTICO 345 ML, ,,,0,,CENTRO 40mil,,,,$3.100,$5.000,,,"0,61",$0
ALCOHOL ANTICEPTICO GALON,,,,0,,CENTRO 40mil,,,,$27.500,$48.000,,,"0,75",$0
Alcohol industrial X Botella,,,,0,0,sandra milena ,,40,,$5.350,$8.500,,$7.500,"0,59",$0
